Year,China,Germany,France,United Kingdom,India,Japan,United States
1960,59716467625,NA,62651474947,72328047042,36535925031,44307342950,5.43E+11
1961,50056868958,NA,68346741504,76694360636,38709096076,53508617739,5.63E+11
1962,47209359006,NA,76313782252,80601939635,41599070242,60723018684,6.05E+11
1963,50706799903,NA,85551113767,85443766670,47776000900,69498131797,6.39E+11
1964,59708343489,NA,94906593388,93387598814,55726873084,81749006382,6.86E+11
1965,70436266147,NA,1.02161E+11,1.00596E+11,58760424670,90950278258,7.44E+11
1966,76720285970,NA,1.10597E+11,1.07091E+11,45253641303,1.05628E+11,8.15E+11
1967,72881631327,NA,1.19466E+11,1.11185E+11,49466168891,1.23782E+11,8.62E+11
1968,70846535056,NA,1.29847E+11,1.04703E+11,52377324284,1.46601E+11,9.43E+11
1969,79705906247,NA,1.40725E+11,1.12677E+11,57668330026,1.72204E+11,1.02E+12
1970,92602973434,2.15022E+11,1.48456E+11,1.30672E+11,61589800520,2.12609E+11,1.08E+12
1971,99800958648,2.49039E+11,1.65967E+11,1.48114E+11,66452561866,2.40152E+11,1.17E+12
1972,1.13688E+11,2.98667E+11,2.03494E+11,1.69965E+11,70509913049,3.18031E+11,1.28E+12
1973,1.38544E+11,3.96867E+11,2.6443E+11,1.92538E+11,84374541630,4.32083E+11,1.43E+12
1974,1.44182E+11,4.43619E+11,2.85552E+11,2.06131E+11,98198276857,4.79626E+11,1.55E+12
1975,1.63432E+11,4.8878E+11,3.60832E+11,2.41757E+11,97159222024,5.21542E+11,1.69E+12
1976,1.5394E+11,5.17788E+11,3.72319E+11,2.32615E+11,1.01347E+11,5.86162E+11,1.88E+12
1977,1.74938E+11,5.98226E+11,4.10279E+11,2.63066E+11,1.19867E+11,7.21412E+11,2.09E+12
1978,1.49541E+11,7.37668E+11,5.06708E+11,3.35883E+11,1.35469E+11,1.01361E+12,2.36E+12
1979,1.78281E+11,8.78011E+11,6.13953E+11,4.38994E+11,1.50951E+11,1.05501E+12,2.63E+12
1980,1.91149E+11,9.46695E+11,7.01288E+11,5.64948E+11,1.8384E+11,1.10539E+12,2.86E+12
1981,1.95866E+11,7.97443E+11,6.15552E+11,5.40766E+11,1.9091E+11,1.21899E+12,3.21E+12
1982,2.0509E+11,7.73638E+11,5.84878E+11,5.15049E+11,1.98038E+11,1.13452E+12,3.34E+12
1983,2.30687E+11,7.67768E+11,5.59869E+11,4.89618E+11,2.15351E+11,1.24332E+12,3.64E+12
1984,2.59947E+11,7.22368E+11,5.30684E+11,4.61487E+11,2.09328E+11,1.31838E+12,4.04E+12
1985,3.09488E+11,7.29763E+11,5.53138E+11,4.89285E+11,2.2941E+11,1.39889E+12,4.35E+12
1986,3.00758E+11,1.0423E+12,7.71471E+11,6.01453E+11,2.45665E+11,2.07895E+12,4.59E+12
1987,2.72973E+11,1.29326E+12,9.34173E+11,7.45163E+11,2.75311E+11,2.53281E+12,4.87E+12
1988,3.12354E+11,1.39593E+12,1.01885E+12,9.10123E+11,2.92633E+11,3.07168E+12,5.25E+12
1989,3.47768E+11,1.39367E+12,1.02521E+12,9.26885E+11,2.92093E+11,3.05491E+12,5.66E+12
1990,3.60858E+11,1.76497E+12,1.26918E+12,1.09317E+12,3.16697E+11,3.13282E+12,5.98E+12
1991,3.83373E+11,1.86187E+12,1.26928E+12,1.1428E+12,2.66502E+11,3.58442E+12,6.17E+12
1992,4.26916E+11,2.12313E+12,1.40147E+12,1.17966E+12,2.84364E+11,3.90881E+12,6.54E+12
1993,4.44731E+11,2.06856E+12,1.32282E+12,1.06139E+12,2.7557E+11,4.45414E+12,6.88E+12
1994,5.64325E+11,2.20597E+12,1.39398E+12,1.14049E+12,3.2291E+11,4.90704E+12,7.31E+12
1995,7.34548E+11,2.59162E+12,1.60109E+12,1.33522E+12,3.55476E+11,5.44912E+12,7.66E+12
1996,8.63747E+11,2.50367E+12,1.60568E+12,1.40878E+12,3.87656E+11,4.83371E+12,8.10E+12
1997,9.61604E+11,2.21869E+12,1.45288E+12,1.55248E+12,4.1032E+11,4.41473E+12,8.61E+12
1998,1.02904E+12,2.24323E+12,1.50311E+12,1.63851E+12,4.15731E+11,4.03251E+12,9.09E+12
1999,1.094E+12,2.19996E+12,1.49265E+12,1.66562E+12,4.527E+11,4.56208E+12,9.66E+12
2000,1.21135E+12,1.94995E+12,1.36225E+12,1.64795E+12,4.62147E+11,4.88752E+12,1.03E+13
2001,1.3394E+12,1.95065E+12,1.37647E+12,1.62151E+12,4.78965E+11,4.30354E+12,1.06E+13
2002,1.47055E+12,2.07914E+12,1.49429E+12,1.76841E+12,5.08069E+11,4.11512E+12,1.10E+13
2003,1.66029E+12,2.50573E+12,1.84048E+12,2.0384E+12,5.99593E+11,4.44566E+12,1.15E+13
2004,1.95535E+12,2.81925E+12,2.11574E+12,2.39856E+12,6.99689E+11,4.81515E+12,1.23E+13
2005,2.28597E+12,2.86141E+12,2.19613E+12,2.5207E+12,8.08901E+11,4.75541E+12,1.31E+13
2006,2.75213E+12,3.00245E+12,2.31859E+12,2.69261E+12,9.20317E+11,4.53038E+12,1.39E+13
2007,3.55218E+12,3.43995E+12,2.65721E+12,3.07436E+12,1.20111E+12,4.51526E+12,1.45E+13
2008,4.59821E+12,3.75237E+12,2.91838E+12,2.89056E+12,1.18695E+12,5.03791E+12,1.47E+13
2009,5.10995E+12,3.41801E+12,2.69022E+12,2.38283E+12,1.32394E+12,5.23138E+12,1.44E+13
2010,6.10062E+12,3.41709E+12,2.64261E+12,2.44117E+12,1.65662E+12,5.7001E+12,1.50E+13
2011,7.57255E+12,3.7577E+12,2.86141E+12,2.6197E+12,1.82305E+12,6.15746E+12,1.55E+13
2012,8.56055E+12,3.54398E+12,2.68383E+12,2.66209E+12,1.82764E+12,6.20321E+12,1.62E+13
2013,9.60722E+12,3.75251E+12,2.81108E+12,2.73982E+12,1.85672E+12,5.15572E+12,1.67E+13
2014,1.04824E+13,3.89061E+12,2.85217E+12,3.02283E+12,2.03913E+12,4.85041E+12,1.74E+13
2015,1.10647E+13,3.37561E+12,2.43821E+12,2.88557E+12,2.10239E+12,4.39498E+12,1.81E+13
2016,1.1191E+13,3.4778E+12,2.46513E+12,2.65085E+12,2.27423E+12,4.94927E+12,1.86E+13
2017,1.22377E+13,3.67744E+12,2.5825E+12,2.62243E+12,2.59749E+12,4.87214E+12,1.94E+13
